Unit,Chapter,Lesson,Vocabulary,Essential Question,Learning Objective,Performance Expectations,Disciplinary Core Ideas
Unit 1: Foundations of Chemistry,Chapter 1: The Language of Chemistry,Lesson 1: Mastering Accuracy and Precision,"Accuracy
 Precision
 Uncertainty
 Significant Figures",How can we distinguish between accuracy and precision in scientific measurements?,"Convert measurements between different units using conversion factors.
 Calculate the average, range, and uncertainty of a set of measurements.
 Evaluate the accuracy and precision of data from a scientific investigation.","HS-PS1-2: Construct and revise an explanation for the outcome of a simple chemical reaction based on the outermost electron states of atoms, trends in the periodic table, and knowledge of the patterns of chemical properties.",PS1.A: Structure and Properties of Matter: The structure and interactions of matter at the bulk scale are determined by electrical forces within and between atoms.
Unit 1: Foundations of Chemistry,Chapter 1: The Language of Chemistry,Lesson 2: Working with Scientific Notation and Units,,,"Express numbers in scientific notation.
 Perform dimensional analysis to convert units.
 Develop a method to convert between different units using dimensional analysis.",,
Unit 1: Foundations of Chemistry,Chapter 1: The Language of Chemistry,Lesson 3: Managing Measurement Uncertainty and Data Visualization,,,"Identify sources of error in measurements.
 Calculate the uncertainty of a measurement based on its precision.
 Analyze how uncertainty impacts the results of a scientific experiment.",,
Unit 1: Foundations of Chemistry,Chapter 1: The Language of Chemistry,Lesson 4: Scientific Inquiry and Experimental Design,,,"Distinguish between observations and inferences.
 Identify the independent and dependent variables in a given experiment.
 Formulate a hypothesis to explain a phenomenon and design an experiment to test it.",,
Unit 1: Foundations of Chemistry,Chapter 2: Exploring Matter and Its Properties,Lesson 1: The Nature of Matter,,,"Classify materials based on their physical state (solid, liquid, gas, plasma).
 Identify the physical properties of matter, including mass, volume, density, shape, and state.
 Predict how intermolecular forces and particle movement determine the physical state of matter (solid, liquid, gas, plasma).",,
Unit 1: Foundations of Chemistry,Chapter 2: Exploring Matter and Its Properties,Lesson 2: Properties of Matter and Changes,,,"Analyze the properties of materials to determine whether they exhibit physical or chemical properties.
 Differentiate between physical and chemical changes.
 Predict whether a change is physical or chemical based on experimental evidence (e.g., energy changes, phase changes, color changes).",,
Unit 1: Foundations of Chemistry,Chapter 2: Exploring Matter and Its Properties,"Lesson 3: Elements, Compounds, and Mixtures",,,"Recognize common elements and write the chemical formulas for simple compounds.
 Identify different types of mixtures: solutions, colloids, and suspensions.
 Compare and contrast elements, compounds, and mixtures.",,
Unit 2: Atomic Structure and Bonding,Chapter 3: Unlocking the Atom,Lesson 1: The Evolution of Atomic Models and Structure,,,,,
Unit 2: Atomic Structure and Bonding,Chapter 3: Unlocking the Atom,Lesson 2: Atomic Number and Mass,,,,,
Unit 2: Atomic Structure and Bonding,Chapter 3: Unlocking the Atom,Lesson 3: Isotopes and Atomic Variations,,,,,
Unit 2: Atomic Structure and Bonding,Chapter 4: Electrons in Action,Lesson 1: Electron Configuration and Quantum Numbers,,,,,
Unit 2: Atomic Structure and Bonding,Chapter 4: Electrons in Action,Lesson 2: The Electromagnetic Spectrum and Quantized Energy,,,,,
Unit 2: Atomic Structure and Bonding,Chapter 4: Electrons in Action,Lesson 3: The Bohr Model and Atomic Spectra,,,,,
Unit 2: Atomic Structure and Bonding,Chapter 5: The Periodic Table and Chemical Trends,Lesson 1: The Development of the Periodic Table,,,,,
Unit 2: Atomic Structure and Bonding,Chapter 5: The Periodic Table and Chemical Trends,Lesson 2: Classifying Elements and Periodic Trends,,,,,
Unit 2: Atomic Structure and Bonding,Chapter 5: The Periodic Table and Chemical Trends,Lesson 3: Predicting Properties Based on Periodic Trends,,,,,
Unit 2: Atomic Structure and Bonding,Chapter 6: Ionic and Metallic Bonding,Lesson 1: Formation and Properties of Ions,"Octet Rule
 Anion
 Cation
 Electrolyte
 Electron affinity
 Ionic radius
 Ionization
 Octet rule","How are ions formed, and what role do they play in chemical bonding?","Describe how ions are formed.
 Write the symbols and charges of ions.
 Predict the charge of an ion based on its position on the periodic table.","HS-PS1-2: Construct and revise an explanation for the outcome of a simple chemical reaction based on the outermost electron states of atoms, trends in the periodic table, and knowledge of the patterns of chemical properties.",PS1.A: Structure and Properties of Matter The structure and interactions of matter at the bulk scale are determined by electrical forces within and between atoms.
Unit 2: Atomic Structure and Bonding,Chapter 6: Ionic and Metallic Bonding,Lesson 2: Ionic Bonding and Compound Formation,"Ionic bond
 Lattice energy","How do ionic bonds form, and what properties do ionic compounds exhibit?","Define ionic bonding and illustrate its formation using diagrams for simple examples such as NaCl or MgO.
 Identify the properties of ionic compounds and analyze their real-world applications.
 Derive the formula of an ionic compound based on the charges of its ions.","HS-PS1-2: Construct and revise an explanation for the outcome of a simple chemical reaction based on the outermost electron states of atoms, trends in the periodic table, and knowledge of the patterns of chemical properties.",PS1.A: Structure and Properties of Matter The structure and interactions of matter at the bulk scale are determined by electrical forces within and between atoms.
Unit 2: Atomic Structure and Bonding,Chapter 6: Ionic and Metallic Bonding,Lesson 3: Naming and Formulas of Ionic Compounds,"Anion
 Cation
 Criss-cross method
 Polyatomic ions",How do we name and write formulas for ionic compounds?,"Name ionic compounds given their chemical formulas.
 Write the chemical formulas for ionic compounds given their names.
 Determine the rules for naming and writing formulas for ionic compounds.","HS-PS1-2: Construct and revise an explanation for the outcome of a simple chemical reaction based on the outermost electron states of atoms, trends in the periodic table, and knowledge of the patterns of chemical properties.",PS1.A: Structure and Properties of Matter The structure and interactions of matter at the bulk scale are determined by electrical forces within and between atoms.
Unit 2: Atomic Structure and Bonding,Chapter 6: Ionic and Metallic Bonding,Lesson 4: Metallic Bonding and Metal Characteristics,"Boiling point
 Conductivity
 Ductility
 Luster
 Malleability
 Melting point
 Metallic lattice
 Sea of electrons
 Valence electrons",How does metallic bonding explain the unique properties of metals?,"List the properties of metals.
 Describe the formation of metallic bonds.
 Analyze the relationship between the structure of metals and their properties.",HS-PS1-3: Plan and conduct an investigation to gather evidence to compare the structure of substances at the bulk scale to infer the strength of electrical forces between particles.,PS1.A: Structure and Properties of Matter The structure and interactions of matter at the bulk scale are determined by electrical forces within and between atoms.
Unit 2: Atomic Structure and Bonding,Chapter 7: Covalent Bonding,Lesson 1: Covalent Bonding and Molecular Structure,"Covalent bond
 Double bond
 Single bond
 Triple bond","How do covalent bonds form, and how do they differ from ionic bonds?","Describe the formation of covalent bonds.
 Identify the properties of covalent compounds.
 Construct Lewis structures for simple covalent molecules.",HS-PS1-4: Develop a model to illustrate that the release or absorption of energy from a chemical reaction system depends upon the changes in total bond energy.,PS1.B (Chemical Reactions)
Unit 2: Atomic Structure and Bonding,Chapter 7: Covalent Bonding,Lesson 2: Naming and Writing Formulas for Covalent Compounds,"Naming conventions
 Greek prefixes (mono-, di-, tri-, etc.)",How do we name and write formulas for covalent compounds?,"Name covalent compounds given their chemical formulas.
 Write the chemical formulas for covalent compounds given their names.
 Determine the rules for naming and writing formulas for covalent compounds.","HS-PS1-2: Construct and revise an explanation for the outcome of a simple chemical reaction based on the outermost electron states of atoms, trends in the periodic table, and knowledge of the patterns of chemical properties.",PS1.A: Structure and Properties of Matter The structure and interactions of matter at the bulk scale are determined by electrical forces within and between atoms.
Unit 2: Atomic Structure and Bonding,Chapter 7: Covalent Bonding,Lesson 3: VSEPR Theory and Molecular Geometry,"Bent
 Electron geometry
 Linear
 Molecular geometry
 Tetrahedral
 Trigonal pyramidal
 Trigonal planar",How does VSEPR theory help us predict the shapes of molecules?,"Draw Lewis structures for covalent molecules.
 Predict the shape of a molecule using VSEPR theory.
 Analyze how the shape of a molecule affects its properties.",HS-PS1-3: Plan and conduct an investigation to gather evidence to compare the structure of substances at the bulk scale to infer the strength of electrical forces between particles.,PS1.A: Structure and Properties of Matter The structure and interactions of matter at the bulk scale are determined by electrical forces within and between atoms.
Unit 2: Atomic Structure and Bonding,Chapter 7: Covalent Bonding,"Lesson 4: Electronegativity, Polarity, and Intermolecular Forces","Boiling point
 Dipole-dipole forces
 Dipole moment
 Hydrogen bonding
 Intermolecular forces
 London-dispersion forces
 Melting point
 Polarity
 Solubility
 Viscosity",How do differences in electronegativity lead to molecular polarity and affect intermolecular forces?,"Define the term electronegativity and identify the trend of electronegativity across the periodic table.
 Predict the polarity of a bond based on the electronegativity difference between the bonded atoms.
 Analyze the molecular geometry of a molecule and determine its overall polarity based on bond polarities and molecular shape.",HS-PS1-3: Plan and conduct an investigation to gather evidence to compare the structure of substances at the bulk scale to infer the strength of electrical forces between particles.,PS1.A: Structure and Properties of Matter The structure and interactions of matter at the bulk scale are determined by electrical forces within and between atoms.
